method,alpha,Mach,N,cr,ci,omega_i,selection_source,distance_to_shooting,success
shooting,0.18,1.1,,0.15874999999999995,0.09292968749999998,0.016727343749999995,mstab17,0.0,True
gep,0.18,1.1,121.0,0.12771012542362303,0.14907419693826932,0.026833355448888475,nearest_to_shooting,0.11650020417996214,True
gep,0.18,1.1,181.0,0.13576728115239542,0.12089819921434504,0.021761675858582106,nearest_to_shooting,0.060474423979810364,True
gep,0.18,1.1,241.0,0.14646065690881913,0.10594607417388326,0.019070293351298985,nearest_to_shooting,0.0287877272772433,True
gep,0.18,1.1,301.0,0.1552843388418302,0.09827252630316503,0.017689054734569706,nearest_to_shooting,0.01123363312422437,True
shooting,0.24,1.2,,0.2579166666666666,0.04337239583333333,0.010409374999999998,mstab17,0.0,True
gep,0.24,1.2,121.0,0.15123703319528195,7.12102297946944e-16,1.7090455150726654e-16,nearest_to_shooting,0.13749619296141305,True
gep,0.24,1.2,181.0,0.1652829613383076,5.540578714786159e-17,1.3297388915486782e-17,nearest_to_shooting,0.12690808581077342,True
gep,0.24,1.2,241.0,0.28022732616151813,0.0946170831087971,0.022708099946111303,nearest_to_shooting,0.10488964402139767,True
gep,0.24,1.2,301.0,0.2604444663801065,0.08329949701681309,0.019991879284035143,nearest_to_shooting,0.07989420133560753,True
shooting,0.18,1.3,,0.2845833333333332,0.0568359375,0.01023046875,mstab17,0.0,True
gep,0.18,1.3,121.0,0.228244053004468,1.083787558969769e-16,1.9508176061455844e-17,nearest_to_shooting,0.12686768569651624,True
gep,0.18,1.3,181.0,0.28672613993124224,0.12114712062378145,0.02180648171228066,nearest_to_shooting,0.12864021423815436,True
gep,0.18,1.3,241.0,0.309192928262977,0.10000893481973408,0.018001608267552132,nearest_to_shooting,0.08978453626811364,True
gep,0.18,1.3,301.0,0.28680029026614495,0.08854208763221978,0.01593757577379956,nearest_to_shooting,0.0634510419368302,True
