alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.0,1.0,,,,,,,,no_mode,0,False,False,0.03,0.001,shooting_anchor,0.03,0.001,0.0,True
0.01,1.0,561.0,6.842122791647756e-10,4.3323576516961176e-11,4.332357651696118e-13,0.0003675922011175408,0.0003675922011175408,,nearest_to_target,140,True,True,5.5016411675347217e-05,0.00018172600188078703,shooting_anchor,5.5016411675347217e-05,0.00018172600188078703,1.8172600188078703e-06,True
0.02,1.0,561.0,8.211383142651356e-10,2.3178364830409538e-11,4.635672966081908e-13,0.000301164609627413,0.0007529114684242839,0.9999999997164248,target_then_overlap,138,True,True,7.002499286048054e-06,0.0001505416275566459,blended_continuation,1.7505221896701388e-05,0.00037635400390624997,7.5270800781249995e-06,True
0.03,1.0,561.0,0.008170512404095625,8.330311831465283e-13,2.4990935494395848e-14,0.008201603619016954,0.008366237000208915,0.9999999815952216,target_then_overlap,141,True,True,9.007612376760589e-07,0.0003618520176685929,blended_continuation,2.2506713867187495e-06,0.000904630009403935,2.713890028211805e-05,True
0.04,1.0,561.0,0.008172002540218383,8.171115855665887e-13,3.268446342266355e-14,0.003516937399594557,0.008790265469209666,0.9999999878026609,target_then_overlap,144,True,True,0.004902307442457374,0.0006476771272359296,blended_continuation,0.0,0.001619192816840277,6.476771267361108e-05,True
0.05,1.0,561.0,0.008173910993094346,8.28353653862656e-13,4.14176826931328e-14,0.003870404335448353,0.009673591834613294,0.9999999798297898,target_then_overlap,140,True,True,0.00490320152413103,0.0010347088112541553,blended_continuation,0.0,0.0025867720269097207,0.00012933860134548605,True
0.06,1.0,561.0,0.00570445904936355,1.2811672949583913e-14,7.687003769750347e-16,0.0031083734208143866,0.009430118592317627,0.9999999961525733,target_then_overlap,144,True,True,0.0049043465958566075,0.0015018160161220115,blended_continuation,0.0,0.0037545400390624982,0.0002252724023437499,True
0.07,1.0,561.0,0.01660298214754232,0.0016487330390347386,0.00011541131273243172,0.013209869865523863,0.018078835796175897,0.9999987225216411,target_then_overlap,144,True,True,0.0034226754296181297,0.0020903710937576867,blended_continuation,0.0,0.005225927734374999,0.00036581494140625,True
0.08,1.0,561.0,0.01660329310683398,0.001644908115639748,0.00013159264925117985,0.007883151184671337,0.019701305707134586,0.999999785263529,target_then_overlap,144,True,True,0.009961789288525391,0.003768260396337509,blended_continuation,0.0,0.006947551432291665,0.0005558041145833332,True
0.09,1.0,561.0,0.016603642720936368,0.001640579031340738,0.00014765211282066643,0.00886161806663518,0.02214505629903652,0.9999997244598806,target_then_overlap,144,True,False,0.009961975864100388,0.004573859452717183,blended_continuation,0.0,0.008967286458333334,0.0008070557812500001,True
