epoch,loss,loss_pde,loss_bc,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_ci_supervision,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,4.571108341217041,0.3321017026901245,0.39328432083129883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06123267486691475,3.0000009536743164,0.2048151046037674,0.19891662106529312,0.528040001168873,1.5815534210469724,17.81690796659667,0.550375263450071,1.3302347102421477,0.4385817026906092,0.9327311004520878,0.25882550581927355,0.5915762712943272,2.2007602827889587,15.219715690612801,3.107350736950417,8.0,0.05,0.85
2,3.7395243644714355,0.3141695261001587,0.28543442487716675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142020970582962,3.0000009536743164,0.20928137004375458,,,,,,,,,,,,,,,,
3,3.8829641342163086,0.32431459426879883,0.309506893157959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09271611273288727,3.0000009536743164,0.21410144865512848,,,,,,,,,,,,,,,,
4,2.128884792327881,0.18102365732192993,0.1533622145652771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08284775912761688,3.0000009536743164,0.21915718913078308,,,,,,,,,,,,,,,,
5,1.5410994291305542,0.2023651897907257,0.10331103205680847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0611247792840004,3.0000009536743164,0.22445422410964966,,,,,,,,,,,,,,,,
6,2.147125720977783,0.20738378167152405,0.1683509796857834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05124644935131073,3.0000009536743164,0.23002947866916656,,,,,,,,,,,,,,,,
7,2.020294666290283,0.12791560590267181,0.17026236653327942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03795110434293747,3.0000009536743164,0.2358202487230301,,,,,,,,,,,,,,,,
8,1.9269146919250488,0.1068231537938118,0.169322207570076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025373879820108414,3.0000009536743164,0.2417886108160019,,,,,,,,,,,,,,,,
9,1.9364219903945923,0.11776518821716309,0.17417070269584656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015389942564070225,3.0000009536743164,0.24794764816761017,,,,,,,,,,,,,,,,
10,1.3339216709136963,0.10612176358699799,0.11955682933330536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006446322426199913,3.0000009536743164,0.25419187545776367,,,,,,,,,,,,,,,,
11,1.2499232292175293,0.06649346649646759,0.11749324947595596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016994391335174441,3.0000009536743164,0.26034781336784363,,,,,,,,,,,,,,,,
12,1.2736961841583252,0.06737799197435379,0.12012282013893127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010179879609495401,3.0000009536743164,0.26616013050079346,,,,,,,,,,,,,,,,
13,1.4715375900268555,0.07197296619415283,0.13799849152565002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003915945068001747,3.0000009536743164,0.2712595462799072,,,,,,,,,,,,,,,,
14,1.273842215538025,0.07835851609706879,0.11416849493980408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010759738273918629,3.0000009536743164,0.27505549788475037,,,,,,,,,,,,,,,,
15,1.3344511985778809,0.11172857135534286,0.11404499411582947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016454538330435753,3.0000009536743164,0.2771889865398407,,,,,,,,,,,,,,,,
16,1.1416430473327637,0.15947842597961426,0.08948354423046112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017465822398662567,3.0000009536743164,0.27797335386276245,,,,,,,,,,,,,,,,
17,1.4334932565689087,0.09251894056797028,0.1231098622083664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021975142881274223,3.0000009536743164,0.2771739065647125,,,,,,,,,,,,,,,,
18,1.3716471195220947,0.06706340610980988,0.12239646911621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016123797744512558,3.0000009536743164,0.2753470838069916,,,,,,,,,,,,,,,,
19,1.0789543390274048,0.07334701716899872,0.09303346276283264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015054530464112759,3.0000009536743164,0.2727338969707489,,,,,,,,,,,,,,,,
20,1.032397747039795,0.08870388567447662,0.08807624131441116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012586289085447788,3.0000009536743164,0.26959455013275146,,,,,,,,,,,,,,,,
21,1.2234406471252441,0.12834051251411438,0.10654456913471222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005930893123149872,3.0000009536743164,0.2664194405078888,,,,,,,,,,,,,,,,
22,1.1362799406051636,0.13568240404129028,0.0979713499546051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041768187656998634,3.0000009536743164,0.2633320987224579,,,,,,,,,,,,,,,,
23,1.295070767402649,0.12089038640260696,0.11642266809940338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001990737859159708,3.0000009536743164,0.26042038202285767,,,,,,,,,,,,,,,,
24,1.1379579305648804,0.09428980946540833,0.10386548936367035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010026437230408192,3.0000009536743164,0.2578601837158203,,,,,,,,,,,,,,,,
25,1.3267649412155151,0.07258845865726471,0.12495554983615875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009242111118510365,3.0000009536743164,0.2556958496570587,,,,,,,,,,,,,,,,
26,0.79178386926651,0.06079908087849617,0.0723239928483963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015489773359149694,3.0000009536743164,0.25400403141975403,,,,,,,,,,,,,,,,
27,0.9504573941230774,0.06604394316673279,0.08725897967815399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002364714629948139,3.0000009536743164,0.25283804535865784,,,,,,,,,,,,,,,,
28,0.9559701085090637,0.06872743368148804,0.08714848756790161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003151556011289358,3.0000009536743164,0.25214964151382446,,,,,,,,,,,,,,,,
29,0.8679789304733276,0.06431442499160767,0.0783870667219162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039587607607245445,3.0000009536743164,0.25193658471107483,,,,,,,,,,,,,,,,
30,0.9772127270698547,0.06348945200443268,0.08918507397174835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00437451247125864,3.0000009536743164,0.2521408200263977,,,,,,,,,,,,,,,,
31,1.0743849277496338,0.047422170639038086,0.10055975615978241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004273031838238239,3.0000009536743164,0.2526841163635254,,,,,,,,,,,,,,,,
32,0.7122134566307068,0.052136681973934174,0.06411008536815643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003795183729380369,3.0000009536743164,0.2535195052623749,,,,,,,,,,,,,,,,
33,1.096035122871399,0.050585247576236725,0.10291223973035812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003265493083745241,3.0000009536743164,0.254588782787323,,,,,,,,,,,,,,,,
34,0.9130803942680359,0.06522264331579208,0.08340216428041458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027672331780195236,3.0000009536743164,0.2558627426624298,,,,,,,,,,,,,,,,
35,0.9283967614173889,0.05330931395292282,0.08638764917850494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002242195885628462,3.0000009536743164,0.2572898268699646,,,,,,,,,,,,,,,,
36,1.0449961423873901,0.06875300407409668,0.09681957960128784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016094570746645331,3.0000009536743164,0.25878962874412537,,,,,,,,,,,,,,,,
37,0.8522784113883972,0.06594497710466385,0.078115314245224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010360560845583677,3.0000009536743164,0.26034703850746155,,,,,,,,,,,,,,,,
38,0.8700177669525146,0.06883925199508667,0.07969711720943451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008414569892920554,3.0000009536743164,0.2618670165538788,,,,,,,,,,,,,,,,
39,0.9840383529663086,0.06201934441924095,0.09179390966892242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008159860735759139,3.0000009536743164,0.26327136158943176,,,,,,,,,,,,,,,,
40,0.9325263500213623,0.05736951529979706,0.08694607019424438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011392193846404552,3.0000009536743164,0.26447543501853943,,,,,,,,,,,,,,,,
41,0.9262986183166504,0.07492344081401825,0.08442604541778564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001422937260940671,3.0000009536743164,0.2654341757297516,,,,,,,,,,,,,,,,
42,1.0488840341567993,0.0761791542172432,0.09636566042900085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018096491694450378,3.0000009536743164,0.2661111652851105,,,,,,,,,,,,,,,,
43,0.7684851288795471,0.07376935333013535,0.06836478412151337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022135842591524124,3.0000009536743164,0.2664434313774109,,,,,,,,,,,,,,,,
44,1.1704837083816528,0.06331737339496613,0.10925675183534622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029197540134191513,3.0000009536743164,0.26636502146720886,,,,,,,,,,,,,,,,
45,0.8702269792556763,0.06395187973976135,0.079155832529068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029433448798954487,3.0000009536743164,0.2659735083580017,,,,,,,,,,,,,,,,
46,0.7921250462532043,0.0622481107711792,0.07149370014667511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002987995743751526,3.0000009536743164,0.26528656482696533,,,,,,,,,,,,,,,,
