alpha,Mach,accepted,gep_cr,gep_ci,jump_cr,jump_ci,one_minus_overlap
0.02,1.65,0.0,0.2989586587534683,0.0041191387229237,0.44952177274859895,0.0041191387229211045,5.047944614178235e-05
0.02,1.675,1.0,0.7484804315020672,0.0042418818449743,0.44952177274859895,0.0002779618381872004,0.0002027013455547788
0.3,1.2,0.0,0.2505516928343013,0.0102719350761044,0.4227406894365227,0.0046870167823351,0.006448695154358974
0.3,1.225,0.0,0.673292382270824,0.0055849182937693,0.4227406894365227,0.0046870167823351,0.0042977597970284
0.2,1.275,0.0,0.2301504667171229,0.0068376839893224,0.3942265817463161,0.0029145263124145003,0.010692469700012364
0.2,1.3,0.0,0.624377048463439,0.0080500236608361,0.3942265817463161,0.0028452176221489007,0.02347626115671364
0.23,1.25,0.0,0.230249954011294,0.0076222518818805,0.3941279588726896,0.004634312239219501,0.013347363633185783
0.23,1.275,0.0,0.6243779128839836,0.0067670538141545,0.3941279588726896,0.0018676657452421997,0.010854421742497622
0.26,1.225,0.0,0.2304198355640586,0.0084556426046301,0.3940130085682015,0.0022103343183801005,0.011975101770311247
0.26,1.25,0.0,0.6244328441322601,0.00624530828625,0.3940130085682015,0.0022103343183801005,0.006832680485708842
0.29,1.2,0.0,0.2405423105416533,0.0094784804346666,0.3839563200514493,0.003425980182198401,0.008312736274692756
0.29,1.225,0.0,0.6244986305931026,0.0060525002524682,0.3839563200514493,0.003425980182198401,0.005818580910558424
0.22,1.275,0.0,0.5548878941147807,0.0086347195593967,0.3344955428860864,0.0029941840669178996,0.05394681278076985
0.22,1.25,0.0,0.2203923512286943,0.0071123941507457,0.3344955428860864,0.001522325408651,0.006939949920461652
0.25,1.25,0.0,0.554908803654514,0.0074708876726932,0.3343996603697935,0.004785676448406801,0.033749286935145006
0.25,1.225,0.0,0.2205091432847205,0.0078625005745087,0.3343996603697935,0.0005931420301213998,0.00689366245172085
0.19,1.3,0.0,0.5489727355494921,0.010895241282985,0.3286460787875354,0.0044890465026938,0.09127059402595439
0.19,1.275,0.0,0.2203266567619567,0.0064061947802912,0.3286460787875354,0.0044890465026938,0.0050118879551633855
0.13,1.375,0.0,0.5488701517348386,0.0080462245697688,0.32857608479823286,0.002815469881432599,0.07188334723024836
0.13,1.35,0.0,0.2202940669366057,0.0052307546883362,0.32857608479823286,0.002815469881432599,0.002124312270886608
0.28,1.225,0.0,0.5549809549888874,0.0069527237060971,0.32443404663025904,0.0023556113795821995,0.019589726618506442
0.28,1.2,0.0,0.2305469083586284,0.0088012111788181,0.32443404663025904,0.0018484874727210006,0.005109032626610555
0.17,1.325,0.0,0.5493288335817312,0.0089902959237461,0.3192319248850122,0.0028645059463206996,0.11106768883759222
0.17,1.3,0.0,0.2300969086967191,0.0061257899774254,0.3192319248850122,0.0028645059463206996,0.006101503692040433
0.15,1.35,0.0,0.5491851811637722,0.0083180678506254,0.31910198851538196,0.0025957159304184005,0.10616204477255398
0.15,1.325,0.0,0.2300831926483903,0.005722351920207,0.31910198851538196,0.0025957159304184005,0.003909923435491236
0.11,1.4,0.0,0.5483411436209165,0.0079155032415969,0.3182647034838404,0.0029505365442116993,0.03499861249559
0.11,1.375,0.0,0.2300764401370761,0.0049649666973852,0.3182647034838404,0.0029505365442116993,0.0012807357371503736
0.02,1.625,0.0,0.2989498671739621,0.0041491002809397,0.293971676278904,0.004149100280939262,4.735498205243882e-05
0.03,1.65,0.0,0.4681386197081399,0.0055093312220196,0.28036174070436864,0.0013901924990959002,0.00034508540405675525
0.03,1.675,1.0,0.7485003604125086,0.0044591887652824,0.28036174070436864,0.0010501424567371997,0.0006441688052003514
0.02,1.375,0.0,0.1036689718840948,0.0025609081261533,0.2643946821457831,0.0026504931562511005,2.9008833604127204e-06
0.02,1.4,0.0,0.3680636540298779,0.0051832531790304,0.2643946821457831,0.0026223450528771006,3.0188587811230683e-05
0.03,1.375,0.0,0.3581052099578641,0.0052114012824044,0.26411011992611433,0.0027306387088809002,0.00012164134209202704
0.03,1.35,0.0,0.0939950900317498,0.0024807625735235,0.26411011992611433,0.0027306387088809002,7.644962220831886e-06
0.29,1.7000000000000002,0.0,0.7317248886414731,0.011423781540639,0.2537720968340963,0.0021819779858260006,0.012515840087426788
0.29,1.725,1.0,0.4779527918073768,0.0094564726526585,0.2537720968340963,0.001967308887980499,0.002625892898374782
0.24,1.25,0.0,0.4260481586444403,0.0122565641211,0.24712847841193736,0.006470440040926801,0.23282144369934699
0.24,1.275,0.0,0.6731766370563776,0.0057861240801732,0.24712847841193736,0.006470440040926801,0.004585836642809649
0.21,1.275,0.0,0.4289597727909174,0.0097522103017369,0.24417784733083497,0.0033139135098356,0.2803512024053374
0.21,1.3,0.0,0.6731376201217524,0.0064382967919013,0.24417784733083497,0.0033139135098356,0.008290009229110051
0.27,1.225,0.0,0.4348170019807948,0.0093083350856793,0.23841414013875956,0.0037501227069348993,0.1816852376328315
0.27,1.25,0.0,0.6732311421195544,0.0055582123787444,0.23841414013875956,0.0037501227069348993,0.0037109577254127446
0.28,1.7000000000000002,0.0,0.7344674178977268,0.010298038537064,0.23663661669932062,0.001125743003575,0.02314183532713643
0.28,1.725,0.0,0.4978308011984062,0.0094211946698323,0.23663661669932062,0.0008768438672317001,0.0001659648455135665
0.02,1.425,0.0,0.3879733685575224,0.0052913847825775,0.2358518101035491,0.002183557011177,3.576722414644351e-05
0.02,1.45,0.0,0.1618400481835278,0.0032033775520932,0.2261333203739946,0.0020880072304843,6.4545575499952434e-06
0.04,1.55,0.0,0.448019605433082,0.005644188033951,0.2179020568609453,0.0017584308861228995,0.0007223512417352529
0.04,1.525,0.0,0.2301175485721367,0.0038857571478281,0.2179020568609453,0.0017584308861228995,8.646009083279615e-05
0.03,1.4,0.0,0.5165524862232815,0.006539813667888,0.2177134886418821,0.0019980163833948003,0.00018062103417437747
0.03,1.425,0.0,0.2988389975813994,0.0045417972844932,0.2177134886418821,0.0019980163833948003,2.8537800185968187e-05
0.12,1.375,0.0,0.4281816372229166,0.0070393377422563,0.21766554259788068,0.0021082402518470007,0.04856210363590541
0.12,1.35,0.0,0.2105160946250359,0.0049310974904093,0.21766554259788068,0.0021082402518470007,0.0013567587156158023
0.07,1.45,0.0,0.210543529577007,0.0041300679170611,0.2174759768844453,0.0019797708394297996,0.000307546114059587
0.07,1.475,0.0,0.4280195064614523,0.0060025249160109,0.2174759768844453,0.0019317678515067003,0.005259917853657203
0.21,1.25,0.0,0.2203573251923384,0.0067944547946908,0.20860244759857902,0.0029577555070461,0.010099807335039013
0.18,1.3,0.0,0.42876462346421,0.0084588503118526,0.2084586831282924,0.0024363909711324003,0.2379076580971875
0.18,1.275,0.0,0.2203059403359176,0.0061384136747763,0.2084586831282924,0.0023204366370763,0.006111453177687798
0.03,1.55,0.0,0.2497229798704709,0.0039329166203958,0.2083033630303772,0.0017112714135552,5.1259664806346805e-05
0.03,1.5750000000000002,0.0,0.4580263429008481,0.0055870857189978,0.2083033630303772,0.0016541690986020003,0.00028070499661203563
0.16,1.325,0.0,0.4285658504491917,0.0079512256554418,0.20827276911330012,0.002228873735234801,0.17086557619475928
0.16,1.3,0.0,0.2202930813358916,0.0057621383539452,0.20827276911330012,0.0021890873014966004,0.00411201472795697
0.14,1.35,0.0,0.4283609293009389,0.0074843962705681,0.20807349293827818,0.0022536415822318996,0.1055349968010566
