alpha,Mach,box_label,cr_min,cr_max,ci_min,ci_max,shooting_cr,shooting_ci,shooting_omega_i,stage1_mismatch,stage2_mismatch,spectral_success,mode_success,success
0.2,1.2,default,0.03,0.7,0.001,0.12,0.24002929687499994,0.06348274739583332,0.012696549479166664,6.0735334640007816e-05,2.5134883377378183e-26,True,True,True
0.2,1.2,mid_high,0.35,0.75,0.001,0.06,0.7614583333333335,1e-06,2e-07,4.8203286188856666e-08,25.130616192053413,True,False,False
0.2,1.2,tight_high,0.45,0.85,0.001,0.03,0.7614583333333335,3.083579282407408e-05,6.167158564814816e-06,6.581904891052978e-08,25.12409066270257,True,False,False
0.2,1.2,wide,0.03,0.95,0.001,0.2,0.7616276041666669,1.0560102297935958e-05,2.1120204595871917e-06,4.1882384080464365e-09,25.137387838487584,True,False,False
0.2,1.25,default,0.03,0.7,0.001,0.12,0.2679459635416666,0.05534798177083333,0.011069596354166667,5.625705495339255e-05,9.335064408023365e-26,True,True,True
0.2,1.25,mid_high,0.35,0.75,0.001,0.06,0.7614583333333335,5.796252893518517e-05,1.1592505787037036e-05,7.345742856291526e-08,24.581406250621114,True,False,False
0.2,1.25,tight_high,0.45,0.85,0.001,0.03,0.7614583333333335,1e-06,2e-07,4.1341191534093314e-08,24.594103463722256,True,False,False
0.2,1.25,wide,0.03,0.95,0.001,0.2,0.7616276041666666,3.868030689380788e-06,7.736061378761576e-07,3.75321852293524e-09,24.60308294508136,True,False,False
0.2,1.275,default,0.03,0.7,0.001,0.12,0.7615039062499999,1e-06,2e-07,1.3097437369068526e-08,24.32153515595877,True,False,False
0.2,1.275,mid_high,0.35,0.75,0.001,0.06,0.7614583333333335,5.796252893518518e-05,1.1592505787037036e-05,7.317955516113625e-08,24.30602502490833,True,False,False
0.2,1.275,tight_high,0.45,0.85,0.001,0.03,0.7614583333333335,3.0835792824074084e-05,6.167158564814817e-06,6.510712154237509e-08,24.312127896318675,True,False,False
0.2,1.275,wide,0.03,0.95,0.001,0.2,0.28126302083333343,0.05159212239583334,0.01031842447916667,4.6726625934168815e-05,1.0523601690874603e-26,True,True,True
0.2,1.3,default,0.03,0.7,0.001,0.12,0.7615039062499999,7.951000072337964e-06,1.590200014467593e-06,2.739401887207272e-08,24.040206709952233,True,False,False
0.2,1.3,mid_high,0.35,0.75,0.001,0.06,0.7614583333333335,5.796252893518518e-05,1.1592505787037036e-05,7.289762093614547e-08,24.026053922534633,True,False,False
0.2,1.3,tight_high,0.45,0.85,0.001,0.03,0.7614583333333335,3.0835792824074084e-05,6.167158564814817e-06,6.485587770762613e-08,24.03221236331411,True,False,False
0.2,1.3,wide,0.03,0.95,0.001,0.2,0.29444010416666666,0.047964518229166676,0.009592903645833336,7.817019935766443e-05,1.1265130941782354e-26,True,True,True
