epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,5.730764865875244,0.0024739843793213367,0.5099939703941345,0.0,0.0,0.040046606212854385,0.24770745635032654,0.003572990885004401,0.018068045377731323,0.00014207439380697906,0.012965576723217964,4.788441181182861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15314099192619324,2.0,0.0,0.0,0,3.0000009536743164,0.1785481870174408,0.37270857300647897,0.37270857300647897,0.6761070217610328,0.6761070217610328,4.444775736242631,4.444775736242631,4.435685844873588,4.435685844873588,0.053286052404419894,0.053286052404419894,74.24251556396484,74.24251556396484,4.435685844873588,0.053286052404419894,74.24251556396484,24.886500627099405,1,0.2,0.2
2,3.1705312728881836,0.00039029103936627507,0.2021418809890747,0.0,0.0,0.1516716480255127,0.6433902382850647,2.2238258168272296e-07,0.00048528131446801126,0.0001027712132781744,0.012417549267411232,5.451403617858887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1389116644859314,2.0,0.0,0.0,0,3.0000009536743164,0.19903437793254852,,,,,,,,,,,,,,,,3.1705312728881836,0,,
3,2.291750907897949,0.00016560651420149952,0.07959695160388947,0.0,0.0,0.2623179852962494,0.85361647605896,0.0001002332428470254,3.0253340810304508e-06,7.390747487079352e-05,0.002025434048846364,1.8105802536010742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12406060844659805,2.0,0.0,0.0,0,3.0000009536743164,0.22155776619911194,,,,,,,,,,,,,,,,2.291750907897949,0,,
4,1.9903826713562012,8.532645006198436e-05,0.0315878726541996,0.0,0.0,0.3430493474006653,0.9421764016151428,6.633119483012706e-05,4.567401902022539e-06,1.893203443614766e-05,0.0006129426183179021,15.804707527160645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1087014377117157,2.0,0.0,0.0,0,3.0000009536743164,0.24629943072795868,,,,,,,,,,,,,,,,1.9903826713562012,0,,
5,1.8881347179412842,4.6493802074110135e-05,0.013087665662169456,0.0,0.0,0.39647147059440613,0.9764840006828308,5.595845777861541e-06,2.063719875877723e-06,6.290221790550277e-06,0.03279563784599304,31.26034927368164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09299897402524948,2.0,0.0,0.0,0,3.0000009536743164,0.27346253395080566,,,,,,,,,,,,,,,,1.8881347179412842,0,,
6,1.8476094007492065,2.725242666201666e-05,0.005821761675179005,0.0,0.0,0.43019744753837585,0.9897257685661316,8.012834200599173e-07,7.056829076645954e-07,1.9234146293456433e-06,0.00023526247241534293,7.926973342895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07716967165470123,2.0,0.0,0.0,0,3.0000009536743164,0.30326858162879944,,,,,,,,,,,,,,,,1.8476094007492065,0,,
7,1.8232638835906982,1.662555951043032e-05,0.0028165976982563734,0.0,0.0,0.4512903094291687,0.9951276779174805,5.455555310618365e-06,2.4205903059737466e-07,6.138403705335804e-07,0.1218542829155922,24.22081184387207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061498142778873444,2.0,0.0,0.0,0,3.0000009536743164,0.3359413743019104,,,,,,,,,,,,,,,,1.8232638835906982,0,,
8,1.8020864725112915,1.0770054359454662e-05,0.0014837245689705014,0.0,0.0,0.46467599272727966,0.9974719882011414,7.766253474983387e-06,8.994783939897388e-08,2.1524598992073152e-07,0.0009124293574132025,23.005046844482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04636072367429733,2.0,0.0,0.0,0,3.0000009536743164,0.3716767132282257,,,,,,,,,,,,,,,,1.8020864725112915,0,,
9,1.7816656827926636,7.2986736086022574e-06,0.000846722861751914,0.0,0.0,0.4733887314796448,0.9985795021057129,7.67088477005018e-06,3.704423789940847e-08,8.433041642774697e-08,0.01642422191798687,6.084591388702393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03224898874759674,2.0,0.0,0.0,0,3.0000009536743164,0.41058650612831116,,,,,,,,,,,,,,,,1.7816656827926636,0,,
10,1.7627795934677124,5.118811714055482e-06,0.0005195294506847858,0.0,0.0,0.4792262613773346,0.9991374611854553,6.53829511065851e-06,1.6938193070359375e-08,3.692810324196216e-08,0.03980843350291252,5.725293159484863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019788125529885292,2.0,0.0,0.0,0,3.0000009536743164,0.4525953233242035,,,,,,,,,,,,,,,,1.7627795934677124,0,,
