epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,6.225521564483643,0.01108176913112402,0.5876157283782959,0.0,0.0,0.025824502110481262,0.16486398875713348,0.00030401727417483926,0.0027945060282945633,0.0,0.03540344536304474,5.752676963806152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10794892907142639,2.0,0.0,0.0,0,3.0000009536743164,0.24988868832588196,0.3013680716980378,0.3013680716980378,0.5466927357372156,0.5466927357372156,4.490487118446141,4.490487118446141,4.475574656102798,4.475574656102798,0.07635796264468209,0.07635796264468209,74.24251556396484,74.24251556396484,4.475574656102798,0.07635796264468209,74.24251556396484,24.581222886906538,1,0.2,0.2
2,2.9629342555999756,0.0026186155155301094,0.22606824338436127,0.0,0.0,0.14126786589622498,0.611349880695343,0.00010278729314450175,0.0006885892944410443,0.00035852176370099187,0.08197100460529327,6.2547454833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0908227264881134,2.0,0.0,0.0,0,3.0000009536743164,0.28011441230773926,,,,,,,,,,,,,,,,2.9629342555999756,0,,
3,1.8170523643493652,0.0007524060201831162,0.08564767241477966,0.0,0.0,0.2584223449230194,0.8498172760009766,6.120309262769297e-05,0.00022158963838592172,0.00028240279061719775,0.046225275844335556,4.40667724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07351816445589066,2.0,0.0,0.0,0,3.0000009536743164,0.31367143988609314,,,,,,,,,,,,,,,,1.8170523643493652,0,,
4,1.4263420104980469,0.00021468233899213374,0.032244130969047546,0.0,0.0,0.3456149399280548,0.9442105293273926,6.61916274111718e-05,2.365268301218748e-05,7.608308806084096e-05,0.03951270505785942,13.3715238571167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05644679069519043,2.0,0.0,0.0,0,3.0000009536743164,0.350833535194397,,,,,,,,,,,,,,,,1.4263420104980469,0,,
5,1.2988938093185425,6.953690899536014e-05,0.012626800686120987,0.0,0.0,0.40183746814727783,0.9786244034767151,3.7226778658805415e-05,1.5660366443626117e-06,1.619413887965493e-05,0.015870198607444763,11.659440994262695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040169473737478256,2.0,0.0,0.0,0,3.0000009536743164,0.39180707931518555,,,,,,,,,,,,,,,,1.2988938093185425,0,,
6,1.253915786743164,2.8594720788532868e-05,0.005326990038156509,0.0,0.0,0.436068058013916,0.9912053346633911,1.6022659110603854e-05,6.827210796700456e-08,3.566403393051587e-06,0.0004662596038542688,13.005498886108398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02542421594262123,2.0,0.0,0.0,0,3.0000009536743164,0.43662741780281067,,,,,,,,,,,,,,,,1.253915786743164,0,,
7,1.233790397644043,1.5400586562464014e-05,0.0024537676945328712,0.0,0.0,0.4565980136394501,0.9960393905639648,1.022270316752838e-05,4.968160993712445e-08,9.290032494391198e-07,0.04931811988353729,18.285633087158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01313988957554102,2.0,0.0,0.0,0,3.0000009536743164,0.4849432110786438,,,,,,,,,,,,,,,,1.233790397644043,0,,
8,1.2240740060806274,9.548961315886118e-06,0.0012350130127742887,0.0,0.0,0.4692530333995819,0.998052716255188,3.3611881917749997e-06,3.1176963233292554e-08,2.847004907380324e-07,0.001443249755539,3.914701223373413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004397492855787277,2.0,0.0,0.0,0,3.0000009536743164,0.5355662107467651,,,,,,,,,,,,,,,,1.2240740060806274,0,,
9,1.2227625846862793,6.614154699491337e-06,0.000675294897519052,0.0,0.0,0.4773526191711426,0.9989561438560486,9.235920970240841e-07,1.660554005411541e-08,1.0041583919928598e-07,0.03441496938467026,18.910829544067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024619008763693273,2.0,0.0,0.0,0,3.0000009536743164,0.5856446623802185,,,,,,,,,,,,,,,,1.2227625846862793,0,,
10,1.2301212549209595,4.8928350224741735e-06,0.0003978371387347579,0.0,0.0,0.48271438479423523,0.9994012117385864,1.6883267051071016e-07,8.613186608386059e-09,4.025874744684188e-08,0.012636587955057621,11.101755142211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011825308902189136,2.0,0.0,0.0,0,3.0000009536743164,0.629783034324646,,,,,,,,,,,,,,,,1.2301212549209595,0,,
