epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,4.009983062744141,0.010597068816423416,0.33898216485977173,0.0,0.0,0.09227808564901352,0.45139279961586,0.004207170102745295,0.0058682323433458805,0.0004517411289270967,0.02708379179239273,6.3050947189331055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00146291998680681,2.0,0.0,0.0,0,3.0000009536743164,0.25689420104026794,0.010439915374455933,0.010439915374455933,0.03905193666991906,0.03905193666991906,6.477688691009296,6.477688691009296,6.476825484745565,6.476825484745565,0.015475781867953274,0.015475781867953274,74.24251556396484,74.24251556396484,6.476825484745565,0.015475781867953274,74.24251556396484,25.097391843543033,1,0.5,0.5
2,2.1900064945220947,0.005660059861838818,0.1003437489271164,0.0,0.0,0.24007098376750946,0.819330096244812,0.0003135968290735036,4.219993115839316e-06,0.00013404132914729416,0.07816272228956223,15.878070831298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010899094195337966,2.0,0.0,0.0,0,3.0000009536743164,0.283057302236557,,,,,,,,,,,,,,,,2.1900064945220947,0,,
3,1.776672124862671,0.001940394751727581,0.03096829354763031,0.0,0.0,0.34649598598480225,0.9447930455207825,4.32298838859424e-06,4.496661858865991e-06,4.045401874464005e-05,0.04189840331673622,7.161996364593506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002472189662512392,2.0,0.0,0.0,0,3.0000009536743164,0.2929796576499939,,,,,,,,,,,,,,,,1.776672124862671,0,,
4,1.7018051147460938,0.0006615066668018699,0.010522288270294666,0.0,0.0,0.4086044728755951,0.9816895127296448,2.3096074528439203e-06,8.099369210867735e-07,7.856589036236983e-06,0.0007837823941372335,5.3141961097717285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006576944142580032,2.0,0.0,0.0,0,3.0000009536743164,0.288290411233902,,,,,,,,,,,,,,,,1.7018051147460938,0,,
5,1.6991456747055054,0.0002519363188184798,0.004065242130309343,0.0,0.0,0.44284990429878235,0.9930708408355713,4.3158288463018835e-06,1.2933044502005941e-07,1.558788994771021e-06,0.03319954872131348,5.965300559997559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043916681897826493,2.0,0.0,0.0,0,3.0000009536743164,0.27740374207496643,,,,,,,,,,,,,,,,1.6991456747055054,0,,
6,1.708316683769226,0.00010618112719384953,0.0017900686943903565,0.0,0.0,0.4620589017868042,0.9970036745071411,3.7587340102618327e-06,2.4785444807662316e-08,3.581918690542807e-07,0.11830674856901169,9.875475883483887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010139762161998078,2.0,0.0,0.0,0,3.0000009536743164,0.26549282670021057,,,,,,,,,,,,,,,,1.708316683769226,0,,
7,1.7174526453018188,5.176715785637498e-05,0.0008876159554347396,0.0,0.0,0.4733176827430725,0.9985304474830627,2.7272528768662596e-06,5.9489253523281604e-09,9.804296041693306e-08,0.004371958784759045,12.224346160888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3903006624314003e-06,2.0,0.0,0.0,0,3.0000009536743164,0.25602567195892334,,,,,,,,,,,,,,,,1.7174526453018188,0,,
8,1.7247440814971924,2.8113785447203554e-05,0.0004878868639934808,0.0,0.0,0.4802493155002594,0.9991998076438904,1.8821166349880514e-06,1.7690549025672908e-09,3.178020691052552e-08,0.058237023651599884,4.43302583694458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012788063031621277,2.0,0.0,0.0,0,3.0000009536743164,0.25088879466056824,,,,,,,,,,,,,,,,1.7247440814971924,0,,
9,1.7300927639007568,1.659593908698298e-05,0.00029281096067279577,0.0,0.0,0.4847196340560913,0.9995226263999939,1.2914638318761718e-06,6.350345804762014e-10,1.1999441440480041e-08,0.13227038085460663,14.248021125793457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027044719900004566,2.0,0.0,0.0,0,3.0000009536743164,0.2503005862236023,,,,,,,,,,,,,,,,1.7300927639007568,0,,
10,1.733767032623291,1.0663934517651796e-05,0.00018936448032036424,0.0,0.0,0.48772358894348145,0.9996935129165649,8.959445949585643e-07,2.678837152103597e-10,5.180946338612102e-09,0.0006833445513620973,3.8712258338928223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002901407133322209,2.0,0.0,0.0,0,3.0000009536743164,0.2534821927547455,,,,,,,,,,,,,,,,1.733767032623291,0,,
