epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,5.7539143562316895,0.0005459551466628909,0.4570920169353485,0.0,0.0,0.08836102485656738,0.29965445399284363,0.04601787030696869,0.00016251593478955328,0.00010484160156920552,0.001419929787516594,3.1006479263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13326312601566315,2.0,0.0,0.0,0,3.0000009536743164,0.2076607346534729,0.34359602537044687,0.34359602537044687,0.6232957925497001,0.6232957925497001,4.5206225543847225,4.5206225543847225,4.515633789572131,4.515633789572131,0.030407031696688205,0.030407031696688205,74.24251556396484,74.24251556396484,4.515633789572131,0.030407031696688205,74.24251556396484,24.80944632326392,1,0.2,0.2
2,3.4759955406188965,0.0004120234807487577,0.13750475645065308,0.0,0.0,0.21448689699172974,0.7567155361175537,0.007314563728868961,4.359977538115345e-05,0.00027163344202563167,0.009059768170118332,13.799995422363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11805824190378189,2.0,0.0,0.0,0,3.0000009536743164,0.23122964799404144,,,,,,,,,,,,,,,,3.4759955406188965,0,,
3,2.9735379219055176,0.00014693118282593787,0.043407924473285675,0.0,0.0,0.3234669864177704,0.9227342009544373,0.0009520844323560596,1.0734484931163024e-05,7.68277095630765e-05,0.017519712448120117,7.420426845550537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10241739451885223,2.0,0.0,0.0,0,3.0000009536743164,0.2571066617965698,,,,,,,,,,,,,,,,2.9735379219055176,0,,
4,2.8591575622558594,4.7598412493243814e-05,0.015187712386250496,0.0,0.0,0.3913237452507019,0.9734505414962769,7.436262239934877e-05,1.5195058722383692e-06,1.5247485862346366e-05,0.04204144328832626,4.674611568450928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08652429282665253,2.0,0.0,0.0,0,3.0000009536743164,0.2854996621608734,,,,,,,,,,,,,,,,2.8591575622558594,0,,
5,2.82655930519104,1.694871752988547e-05,0.006041152868419886,0.0,0.0,0.43043771386146545,0.9896100163459778,1.3211055716055853e-07,2.2621625817009772e-07,3.1053095881361514e-06,0.05379223823547363,21.5955810546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07062683999538422,2.0,0.0,0.0,0,3.0000009536743164,0.3166108727455139,,,,,,,,,,,,,,,,2.82655930519104,0,,
6,2.807929277420044,6.880831278976984e-06,0.002733010333031416,0.0,0.0,0.45312660932540894,0.9953641891479492,1.412295205227565e-05,4.047468848966673e-08,7.316019150493958e-07,0.012804138474166393,16.274471282958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05505869910120964,2.0,0.0,0.0,0,3.0000009536743164,0.35061386227607727,,,,,,,,,,,,,,,,2.807929277420044,0,,
7,2.789973258972168,3.2043114970292663e-06,0.0013894753064960241,0.0,0.0,0.4667583405971527,0.997662365436554,2.4468074116157368e-05,9.261515998559844e-09,2.0534207578748465e-07,0.010643270798027515,8.975483894348145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04025758057832718,2.0,0.0,0.0,0,3.0000009536743164,0.38761892914772034,,,,,,,,,,,,,,,,2.789973258972168,0,,
8,2.771815061569214,1.6790849031167454e-06,0.0007817280711606145,0.0,0.0,0.47530069947242737,0.9986910223960876,2.703079007915221e-05,2.6754589654842675e-09,6.825018772360636e-08,0.04598044231534004,6.237325668334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026777345687150955,2.0,0.0,0.0,0,3.0000009536743164,0.4276098906993866,,,,,,,,,,,,,,,,2.771815061569214,0,,
9,2.755187511444092,1.0215806014457485e-06,0.00047953627654351294,0.0,0.0,0.48087450861930847,0.9991995692253113,2.5750512577360496e-05,9.543859036398317e-10,2.6425670540675128e-08,0.026084663346409798,24.078187942504883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015288552269339561,2.0,0.0,0.0,0,3.0000009536743164,0.4703253209590912,,,,,,,,,,,,,,,,2.755187511444092,0,,
10,2.742272138595581,6.799571110605029e-07,0.00031660066451877356,0.0,0.0,0.4846453070640564,0.999472439289093,2.3160195269156247e-05,4.0780931409578614e-10,1.1699651025764979e-08,0.025541162118315697,18.999446868896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006549905054271221,2.0,0.0,0.0,0,3.0000009536743164,0.5150394439697266,,,,,,,,,,,,,,,,2.742272138595581,0,,
