epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,5.89599084854126,0.026030370965600014,0.3862106502056122,0.0,0.0,0.45138102769851685,0.4520249366760254,0.05985450744628906,0.10825985670089722,0.016723960638046265,0.0036798729561269283,4.42140007019043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09365726262331009,2.0,0.0,0.0,0,3.0000009536743164,0.2779264450073242,0.27333031501659555,0.27333031501659555,0.49583121673904407,0.49583121673904407,5.698040330996465,5.698040330996465,5.647705160940725,5.647705160940725,0.19744854705919912,0.19744854705919912,74.24251556396484,74.24251556396484,5.647705160940725,0.19744854705919912,74.24251556396484,25.673709900544512,1,0.2,0.2
2,4.131230354309082,0.008572284132242203,0.060268014669418335,0.0,0.0,0.9285750985145569,0.926921010017395,0.030963612720370293,0.001971811754629016,0.002660561352968216,0.7641701698303223,26.11471176147461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0747094675898552,2.0,0.0,0.0,0,3.0000009536743164,0.3146449029445648,,,,,,,,,,,,,,,,4.131230354309082,0,,
3,4.841795444488525,0.011350153014063835,0.15451622009277344,0.0,0.0,0.7668702006340027,0.7629259824752808,0.12428876012563705,0.020650584250688553,0.003967154771089554,0.07009220123291016,2.7802088260650635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05598517879843712,2.0,0.0,0.0,0,3.0000009536743164,0.355727881193161,,,,,,,,,,,,,,,,4.841795444488525,0,,
4,4.4072089195251465,0.002849763724952936,0.11108412593603134,0.0,0.0,0.7969030737876892,0.7962384223937988,0.10730571299791336,0.005257039330899715,4.7286448534578085e-05,0.09974877536296844,7.738080978393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038231536746025085,2.0,0.0,0.0,0,3.0000009536743164,0.40142005681991577,,,,,,,,,,,,,,,,4.4072089195251465,0,,
5,3.8323655128479004,0.0007575363852083683,0.04031436890363693,0.0,0.0,0.9203699231147766,0.9202219247817993,0.04064089059829712,0.0002799619105644524,0.0,0.25289246439933777,24.12150001525879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02245103381574154,2.0,0.0,0.0,0,3.0000009536743164,0.45167720317840576,,,,,,,,,,,,,,,,3.8323655128479004,0,,
6,3.647643566131592,0.0018277220660820603,0.016269497573375702,0.0,0.0,0.975448489189148,0.9753539562225342,0.012352023273706436,0.00018238228221889585,7.927584374556318e-05,0.15004777908325195,4.478895664215088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009916085749864578,2.0,0.0,0.0,0,3.0000009536743164,0.5057708621025085,,,,,,,,,,,,,,,,3.647643566131592,0,,
7,3.679741621017456,0.0017216202104464173,0.0296152476221323,0.0,0.0,0.9476677179336548,0.9472618103027344,0.015426123514771461,0.0007192112389020622,5.703256465494633e-05,0.033519793301820755,1.6026053428649902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020689682569354773,2.0,0.0,0.0,0,3.0000009536743164,0.5614422559738159,,,,,,,,,,,,,,,,3.679741621017456,0,,
8,3.718510866165161,0.000871561816893518,0.05834461748600006,0.0,0.0,0.8845273852348328,0.8854175806045532,0.009089875966310501,0.001080704852938652,5.9425868670359705e-09,0.007727374788373709,3.547454595565796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010374521662015468,2.0,0.0,0.0,0,3.0000009536743164,0.6135016083717346,,,,,,,,,,,,,,,,3.718510866165161,0,,
9,3.7755579948425293,9.994475840358064e-05,0.09015096724033356,0.0,0.0,0.8173945546150208,0.8173026442527771,0.0013756339903920889,0.0005740299820899963,0.0,0.024807756766676903,4.071950912475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003874419257044792,2.0,0.0,0.0,0,3.0000009536743164,0.6536595821380615,,,,,,,,,,,,,,,,3.7755579948425293,0,,
10,3.845459461212158,0.00011259601160418242,0.10970697551965714,0.0,0.0,0.7783657908439636,0.779106616973877,0.00038566155126318336,5.730058182962239e-05,0.0,0.004021854139864445,4.638901233673096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010486346669495106,2.0,0.0,0.0,0,3.0000009536743164,0.6755868196487427,,,,,,,,,,,,,,,,3.845459461212158,0,,
11,3.8380768299102783,0.00036777660716325045,0.10188297927379608,0.0,0.0,0.7935828566551208,0.794084370136261,0.002355107106268406,3.4170470826211385e-06,0.0,0.0054952665232121944,24.2612247467041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015457944944500923,2.0,0.0,0.0,0,3.0000009536743164,0.6793360710144043,,,,,,,,,,,,,,,,3.8380768299102783,0,,
