epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,3.2387921810150146,0.0055766929872334,0.018658390268683434,0.0,0.0,0.5074745416641235,0.9910989999771118,0.004742060787975788,7.423514034599066e-05,0.0009504767949692905,0.07428250461816788,91.16716766357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1421266496181488,2.0,0.0,0.0,0,3.0000009536743164,0.19770964980125427,0.3535471102226655,0.3535471102226655,0.6413474254607786,0.6413474254607786,4.755793141322282,4.755793141322282,4.744452658572204,4.744452658572204,0.08029814513758109,0.08029814513758109,74.24251556396484,74.24251556396484,4.744452658572204,0.08029814513758109,74.24251556396484,25.112966173245532,1,0.2,0.2
2,4.9300360679626465,0.02381189912557602,0.3040858209133148,0.0,0.0,0.18351925909519196,0.5472230315208435,0.06141252443194389,0.0006136051961220801,0.009818505495786667,0.03390654921531677,4.338065147399902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499556690454483,2.0,0.0,0.0,0,3.0000009536743164,0.2239193469285965,,,,,,,,,,,,,,,,4.9300360679626465,0,,
3,3.2700541019439697,0.007777943275868893,0.09828934073448181,0.0,0.0,0.2444993108510971,0.8454450368881226,0.001861022086814046,0.006761463358998299,0.0013199960812926292,0.3156783878803253,24.606693267822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714980214834213,2.0,0.0,0.0,0,3.0000009536743164,0.25318974256515503,,,,,,,,,,,,,,,,3.2700541019439697,0,,
4,3.16862416267395,0.0014714098069816828,0.02900129370391369,0.0,0.0,0.46518269181251526,0.9452269077301025,0.02780606970191002,0.0002098007535096258,4.1285447878181e-06,1.300634721701499e-06,9.327363967895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888439416885376,2.0,0.0,0.0,0,3.0000009536743164,0.28584104776382446,,,,,,,,,,,,,,,,3.16862416267395,0,,
5,3.499343156814575,0.008759154006838799,0.04603085666894913,0.0,0.0,0.5866976976394653,0.9516522288322449,0.026508409529924393,0.0004136575444135815,0.0020936420187354088,0.0038695011753588915,5.349461555480957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07044550776481628,2.0,0.0,0.0,0,3.0000009536743164,0.3221672773361206,,,,,,,,,,,,,,,,3.499343156814575,0,,
6,3.5433261394500732,0.013248994946479797,0.04637277126312256,0.0,0.0,0.6291903257369995,0.9788297414779663,0.014985062181949615,0.0014167792396619916,0.006333569530397654,0.10850358009338379,21.10104751586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052482012659311295,2.0,0.0,0.0,0,3.0000009536743164,0.36239883303642273,,,,,,,,,,,,,,,,3.5433261394500732,0,,
7,3.0818188190460205,0.007860314100980759,0.022016141563653946,0.0,0.0,0.5204716920852661,0.996661365032196,0.002108069136738777,0.00011206655472051352,0.0022108396515250206,0.03477312996983528,42.979827880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035667311400175095,2.0,0.0,0.0,0,3.0000009536743164,0.40664076805114746,,,,,,,,,,,,,,,,3.0818188190460205,0,,
8,2.7498254776000977,0.0016183783300220966,0.01853703334927559,0.0,0.0,0.3832346796989441,0.9659698009490967,0.003554333932697773,0.00019247121235821396,1.1018719305866398e-06,0.038064878433942795,3.282895803451538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020913781598210335,2.0,0.0,0.0,0,3.0000009536743164,0.45473429560661316,,,,,,,,,,,,,,,,2.7498254776000977,0,,
9,2.760514259338379,0.0007322443998418748,0.045015137642621994,0.0,0.0,0.3107540011405945,0.907200813293457,0.0026162154972553253,5.2920290727342945e-06,0.0,0.04544387385249138,14.905672073364258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009316600859165192,2.0,0.0,0.0,0,3.0000009536743164,0.5059674382209778,,,,,,,,,,,,,,,,2.760514259338379,0,,
10,2.8948495388031006,0.0034199042711406946,0.07812485843896866,0.0,0.0,0.2576112747192383,0.8587087988853455,0.0005610455991700292,0.0019538875203579664,6.909787771292031e-05,0.2736316919326782,25.4665584564209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020511241164058447,2.0,0.0,0.0,0,3.0000009536743164,0.5585243701934814,,,,,,,,,,,,,,,,2.8948495388031006,0,,
11,2.993685483932495,0.005982890725135803,0.09266043454408646,0.0,0.0,0.2427455484867096,0.8484036326408386,1.6824016711325385e-05,0.005625889170914888,0.0005591668304987252,0.0065725501626729965,3.123840808868408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.281706035020761e-05,2.0,0.0,0.0,0,3.0000009536743164,0.6086567640304565,,,,,,,,,,,,,,,,2.993685483932495,0,,
12,2.9425771236419678,0.005555565003305674,0.08042322099208832,0.0,0.0,0.2583577334880829,0.8684166669845581,0.00045746343676000834,0.005321357864886522,0.0005254499264992774,0.20318791270256042,9.641952514648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032947654835879803,2.0,0.0,0.0,0,3.0000009536743164,0.6504176259040833,,,,,,,,,,,,,,,,2.9425771236419678,0,,
13,2.8147919178009033,0.003062195610255003,0.05351632460951805,0.0,0.0,0.2941637337207794,0.9064427018165588,0.0006924337358213961,0.0023045314010232687,0.00010645485599525273,0.05353369936347008,3.0779545307159424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009832862764596939,2.0,0.0,0.0,0,3.0000009536743164,0.6781238317489624,,,,,,,,,,,,,,,,2.8147919178009033,0,,
14,2.7155303955078125,0.0008294201688840985,0.027849232777953148,0.0,0.0,0.3405039310455322,0.9457033276557922,0.00046390609350055456,0.00040302210254594684,0.0,0.315922349691391,17.0632266998291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016095265746116638,2.0,0.0,0.0,0,3.0000009536743164,0.6898852586746216,,,,,,,,,,,,,,,,2.7155303955078125,0,,
15,2.687948703765869,9.040908480528742e-05,0.01202818751335144,0.0,0.0,0.38862770795822144,0.9728460907936096,0.00012679665815085173,3.182537057000445e-06,0.0,0.016805030405521393,13.137044906616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019217872992157936,2.0,0.0,0.0,0,3.0000009536743164,0.6874930262565613,,,,,,,,,,,,,,,,2.687948703765869,0,,
16,2.7092478275299072,0.000761327100917697,0.0063581280410289764,0.0,0.0,0.42092278599739075,0.9879369735717773,0.00013162821414880455,2.4862627469701692e-05,0.0,0.009538544341921806,5.178414821624756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01856033131480217,2.0,0.0,0.0,0,3.0000009536743164,0.6743046045303345,,,,,,,,,,,,,,,,2.7092478275299072,0,,
17,2.7486002445220947,0.002162821823731065,0.0071737878024578094,0.0,0.0,0.4374276399612427,0.994117021560669,1.0637622835929506e-05,6.976099393796176e-05,5.104481169837527e-05,0.22915604710578918,17.25853157043457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015140783041715622,2.0,0.0,0.0,0,3.0000009536743164,0.6538218259811401,,,,,,,,,,,,,,,,2.7486002445220947,0,,
18,2.7784461975097656,0.0034182360395789146,0.009762407280504704,0.0,0.0,0.44337254762649536,0.9956088662147522,2.197800131398253e-05,9.692730236565694e-05,0.00019918383623007685,2.171379804611206,26.608867645263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01051958929747343,2.0,0.0,0.0,0,3.0000009536743164,0.6291568279266357,,,,,,,,,,,,,,,,2.7784461975097656,0,,
19,2.7759411334991455,0.0038436739705502987,0.010875299572944641,0.0,0.0,0.4410371780395508,0.9946264624595642,9.969821257982403e-05,0.000122990008094348,0.00025078299222514033,2.356527090072632,58.640541076660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060684275813400745,2.0,0.0,0.0,0,3.0000009536743164,0.6028928756713867,,,,,,,,,,,,,,,,2.7759411334991455,0,,
20,2.7441983222961426,0.0033005650620907545,0.009971237741410732,0.0,0.0,0.4323590397834778,0.9934118390083313,0.00012268812861293554,0.00014397290942724794,0.00013866327935829759,0.5201722979545593,19.98787498474121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026662868913263083,2.0,0.0,0.0,0,3.0000009536743164,0.5770627856254578,,,,,,,,,,,,,,,,2.7441983222961426,0,,
