epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,5.098072528839111,0.13848534226417542,0.3323519229888916,0.0,0.0,0.4500839114189148,0.44961947202682495,0.0037395108956843615,0.0002863368717953563,3.98492775275372e-05,0.009556938894093037,5.278180122375488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023372389376163483,2.0,0.0,0.0,0,3.0000009536743164,0.17235636711120605,0.12808270827837628,0.12808270827837628,2.8929770596151845,2.8929770596151845,7.6755294833593535,7.6755294833593535,7.67505973001894,7.67505973001894,0.023638583875279395,0.023638583875279395,74.24251556396484,74.24251556396484,7.67505973001894,0.023638583875279395,74.24251556396484,26.887921454339672,1,0.8,0.8
2,4.06320333480835,0.04185128211975098,0.12955839931964874,0.0,0.0,0.7694169282913208,0.769355833530426,3.015849506482482e-05,0.0003764796128962189,0.00020106343436054885,0.0676654577255249,21.47802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640518382191658,2.0,0.0,0.0,0,3.0000009536743164,0.1507655531167984,,,,,,,,,,,,,,,,4.06320333480835,0,,
3,3.719466209411621,0.014341659843921661,0.04847879707813263,0.0,0.0,0.9134959578514099,0.9132594466209412,0.0002232010301668197,6.939662125660107e-05,7.743039896013215e-05,0.0007719650748185813,23.78276824951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011340523138642311,2.0,0.0,0.0,0,3.0000009536743164,0.13216376304626465,,,,,,,,,,,,,,,,3.719466209411621,0,,
4,3.588700532913208,0.0053644622676074505,0.017712624743580818,0.0,0.0,0.9686896204948425,0.9685727953910828,0.00014511705376207829,4.808141966350377e-06,1.5237773368426133e-05,0.00978856161236763,5.770409107208252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007724670227617025,2.0,0.0,0.0,0,3.0000009536743164,0.11626876890659332,,,,,,,,,,,,,,,,3.588700532913208,0,,
5,3.538361072540283,0.0020947386510670185,0.006605084054172039,0.0,0.0,0.988481879234314,0.9884343147277832,6.428963388316333e-05,1.5231341876642546e-07,2.7237335871177493e-06,0.007660140749067068,2.4355807304382324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051832958124578,2.0,0.0,0.0,0,3.0000009536743164,0.10276438295841217,,,,,,,,,,,,,,,,3.538361072540283,0,,
6,3.518125534057617,0.0008621818269602954,0.0025933326687663794,0.0,0.0,0.995554506778717,0.9955267906188965,2.5560198992025107e-05,2.426308487457618e-09,5.213528879721707e-07,0.15589530766010284,22.124431610107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034211648162454367,2.0,0.0,0.0,0,3.0000009536743164,0.09133081883192062,,,,,,,,,,,,,,,,3.518125534057617,0,,
7,3.509286403656006,0.0003771770279854536,0.0010878382017835975,0.0,0.0,0.9981702566146851,0.9981530904769897,1.01180639831e-05,4.611367288021029e-09,1.1094975604919455e-07,0.022719375789165497,17.282318115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002214376349002123,2.0,0.0,0.0,0,3.0000009536743164,0.08166609704494476,,,,,,,,,,,,,,,,3.509286403656006,0,,
8,3.505037784576416,0.00017328388639725745,0.0004896498285233974,0.0,0.0,0.9991914629936218,0.9991839528083801,4.134606570005417e-06,2.790812470010451e-09,2.652820185744531e-08,0.06195994094014168,6.472744464874268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013981943484395742,2.0,0.0,0.0,0,3.0000009536743164,0.07349786162376404,,,,,,,,,,,,,,,,3.505037784576416,0,,
9,3.502816677093506,8.599347347626463e-05,0.0002362468803767115,0.0,0.0,0.9996171593666077,0.9996137022972107,1.7688622619971284e-06,1.1430965063397025e-09,7.061071727321178e-09,0.08300820738077164,22.34981918334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008540531271137297,2.0,0.0,0.0,0,3.0000009536743164,0.06658833473920822,,,,,,,,,,,,,,,,3.502816677093506,0,,
10,3.5015792846679688,4.5422555558616295e-05,0.00012173486175015569,0.0,0.0,0.9998059272766113,0.9998042583465576,7.991008033059188e-07,4.460266878059116e-10,2.1016450801880637e-09,0.02587851509451866,7.207754611968994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004979447112418711,2.0,0.0,0.0,0,3.0000009536743164,0.06073432043194771,,,,,,,,,,,,,,,,3.5015792846679688,0,,
