epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,6.212214946746826,0.2737375497817993,0.5363063812255859,0.0,0.0,0.03467600420117378,0.2356085479259491,0.0005306681850925088,0.040975406765937805,0.0028564007952809334,0.24737589061260223,17.274362564086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025029808282852173,2.0,0.0,0.0,0,3.0000009536743164,0.17802181839942932,0.13374815956659955,0.13374815956659955,3.020941410381214,3.020941410381214,7.572966953966468,7.572966953966468,7.5729428460177735,7.5729428460177735,0.002929803168316183,0.002929803168316183,74.24251556396484,74.24251556396484,7.5729428460177735,0.002929803168316183,74.24251556396484,26.80377743642614,1,0.8,0.8
2,3.8107962608337402,0.09470720589160919,0.22525927424430847,0.0,0.0,0.13883712887763977,0.6085442900657654,0.0005936386296525598,0.0008414606563746929,0.00012431501818355173,0.00010149185254704207,4.694027900695801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017888573929667473,2.0,0.0,0.0,0,3.0000009536743164,0.15675614774227142,,,,,,,,,,,,,,,,3.8107962608337402,0,,
3,3.0400471687316895,0.034085407853126526,0.09791922569274902,0.0,0.0,0.23941436409950256,0.8204377889633179,0.00036697409814223647,6.113002746133134e-05,6.027004201314412e-05,1.240977553607081e-06,5.583249568939209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01265231054276228,2.0,0.0,0.0,0,3.0000009536743164,0.138416588306427,,,,,,,,,,,,,,,,3.0400471687316895,0,,
4,2.7820260524749756,0.012917513959109783,0.04371301084756851,0.0,0.0,0.31590867042541504,0.9199806451797485,0.00010709678463172168,8.785040699876845e-05,4.276740946806967e-05,0.03963509574532509,3.3772482872009277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008862891234457493,2.0,0.0,0.0,0,3.0000009536743164,0.12269044667482376,,,,,,,,,,,,,,,,2.7820260524749756,0,,
5,2.7039988040924072,0.005308610387146473,0.02017039619386196,0.0,0.0,0.3712960481643677,0.9638351798057556,1.835011426010169e-05,3.4948850952787325e-05,1.923698619066272e-05,0.01867074891924858,4.547212600708008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006149192340672016,2.0,0.0,0.0,0,3.0000009536743164,0.10925565659999847,,,,,,,,,,,,,,,,2.7039988040924072,0,,
6,2.687675952911377,0.002384386956691742,0.009782110340893269,0.0,0.0,0.4089885354042053,0.9827702045440674,4.980610697202792e-07,1.0570778613328002e-05,6.746582130290335e-06,0.08693918585777283,21.478012084960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004222659859806299,2.0,0.0,0.0,0,3.0000009536743164,0.09780161827802658,,,,,,,,,,,,,,,,2.687675952911377,0,,
7,2.6908934116363525,0.0011923923157155514,0.005061368457973003,0.0,0.0,0.433981716632843,0.9911894202232361,1.389734961776412e-06,3.1113286240724847e-06,2.225448270110064e-06,0.02526267245411873,5.765077590942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028652423061430454,2.0,0.0,0.0,0,3.0000009536743164,0.08804236352443695,,,,,,,,,,,,,,,,2.6908934116363525,0,,
8,2.6987438201904297,0.0006551450933329761,0.0028139182832092047,0.0,0.0,0.45054545998573303,0.9951414465904236,4.226338660373585e-06,9.81939251687436e-07,7.649319400115928e-07,0.11040311306715012,8.119327545166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019156994530931115,2.0,0.0,0.0,0,3.0000009536743164,0.07972332090139389,,,,,,,,,,,,,,,,2.6987438201904297,0,,
9,2.7064414024353027,0.00038916445919312537,0.0016811909154057503,0.0,0.0,0.46167680621147156,0.9970945715904236,5.659506769006839e-06,3.451480381500005e-07,2.8720785394398263e-07,0.20006683468818665,16.242759704589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012566784862428904,2.0,0.0,0.0,0,3.0000009536743164,0.07262323796749115,,,,,,,,,,,,,,,,2.7064414024353027,0,,
10,2.712908983230591,0.0002512959763407707,0.0010751498630270362,0.0,0.0,0.4693108797073364,0.9981545209884644,5.831560429214733e-06,1.3668126541688252e-07,1.199020118747285e-07,0.014986710622906685,3.7195303440093994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008036986109800637,2.0,0.0,0.0,0,3.0000009536743164,0.06655298173427582,,,,,,,,,,,,,,,,2.712908983230591,0,,
11,2.7179906368255615,0.00017199368448927999,0.0007316314149647951,0.0,0.0,0.47466349601745605,0.9987464547157288,5.33600041308091e-06,6.08715566841056e-08,5.576161754561326e-08,0.006054515019059181,12.602654457092285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004963682149536908,2.0,0.0,0.0,0,3.0000009536743164,0.06135261803865433,,,,,,,,,,,,,,,,2.7179906368255615,0,,
12,2.721931219100952,0.00012470738147385418,0.0005264038918539882,0.0,0.0,0.478495717048645,0.9990985989570618,4.588659976434428e-06,3.0279199592087025e-08,2.874918969553164e-08,0.040391746908426285,16.90256690979004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000291690812446177,2.0,0.0,0.0,0,3.0000009536743164,0.05688788741827011,,,,,,,,,,,,,,,,2.721931219100952,0,,
13,2.7249839305877686,9.49702734942548e-05,0.00039798521902412176,0.0,0.0,0.48129040002822876,0.9993199110031128,3.80770006813691e-06,1.6674732705723727e-08,1.6305598649068997e-08,0.020248863846063614,6.729248046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015911874652374536,2.0,0.0,0.0,0,3.0000009536743164,0.05304650962352753,,,,,,,,,,,,,,,,2.7249839305877686,0,,
14,2.7273447513580322,7.609135354869068e-05,0.00031438920996151865,0.0,0.0,0.4833591878414154,0.9994598031044006,3.088860239586211e-06,1.007185712609271e-08,1.008562922066858e-08,0.0028219083324074745,2.762415647506714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.696335524087772e-05,2.0,0.0,0.0,0,3.0000009536743164,0.04973483830690384,,,,,,,,,,,,,,,,2.7273447513580322,0,,
15,2.72918438911438,6.250573642319068e-05,0.0002581809530965984,0.0,0.0,0.48490723967552185,0.9995549321174622,2.464941644575447e-06,6.6138445831143144e-09,6.7460752539716395e-09,0.07843750715255737,16.00702476501465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9824310331605375e-05,2.0,0.0,0.0,0,3.0000009536743164,0.046874623745679855,,,,,,,,,,,,,,,,2.72918438911438,0,,
16,2.730626344680786,5.340416100807488e-05,0.00021943335013929754,0.0,0.0,0.4860725998878479,0.9996240735054016,1.939558160302113e-06,4.682719989546058e-09,4.8408566044599866e-09,0.0476565957069397,7.1436896324157715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.765014404663816e-06,2.0,0.0,0.0,0,3.0000009536743164,0.04440062493085861,,,,,,,,,,,,,,,,2.730626344680786,0,,
17,2.731735944747925,4.688625267590396e-05,0.0001922677329275757,0.0,0.0,0.48695001006126404,0.999667763710022,1.5046655335027026e-06,3.5474572168681107e-09,3.69947539269333e-09,0.033411115407943726,1.649713158607483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6120198509383954e-08,2.0,0.0,0.0,0,3.0000009536743164,0.042258262634277344,,,,,,,,,,,,,,,,2.731735944747925,0,,
18,2.7325968742370605,4.239146437612362e-05,0.00017309276154264808,0.0,0.0,0.4876052737236023,0.9997014999389648,1.1487669553389424e-06,2.856393122030454e-09,2.9918920674276706e-09,0.006361870560795069,10.535937309265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.061824711243389e-06,2.0,0.0,0.0,0,3.0000009536743164,0.040401771664619446,,,,,,,,,,,,,,,,2.7325968742370605,0,,
